"Subject_Code","Subject","internal_marks","external_marks","Credits"
"CE101","Art of Programming","NULL","NULL","5.00"
"CE103","Computer Programming","NULL","NULL","5.00"
"CE301","Digital Systems","NULL","NULL","5.00"
"CE302","Object Oriented Programming","NULL","NULL","5.00"
"CE303","Mathematical foundation of Computer Science","NULL","NULL","4.00"
"CE401","Data Communication","NULL","NULL","4.00"
"CE402","Computer Organization","NULL","NULL","5.00"
"CE403","Data Structures","NULL","NULL","5.00"
"CE404","Seminar","NULL","NULL","1.00"
"CE405","Mini Project - I","NULL","NULL","1.00"
"CE406","Computer Peripherals Workshop","NULL","NULL","1.00"
"CE501","Theory of Computation","NULL","NULL","4.00"
"CE502","Database Management Systems","NULL","NULL","5.00"
"CE503","Computer Networks","NULL","NULL","5.00"
"CE504","Operating Systems","NULL","NULL","5.00"
"CE505","Mini Project- II","NULL","NULL","1.00"
"CE601","Design and Analysis of Algorithms","NULL","NULL","4.00"
"CE602","Mini Project- III","NULL","NULL","1.00"
"CE611",".net Technologies (Elective I)","NULL","NULL","4.00"
"CE613","IT Industry Management (Elective III)","NULL","NULL","4.00"
"CE621","Java Technologies (Elective I)","NULL","NULL","4.00"
"CE623","Machine Learning (Elective III)","NULL","NULL","4.00"
"CE631","Objective C Programming (Elective I)","NULL","NULL","4.00"
"CE633","Data Mining (Elective III)","NULL","NULL","4.00"
"CE641","Embedded C Programming (Elective I)","NULL","NULL","4.00"
"CE643","Parallel and Distributed computing (Elective III)","NULL","NULL","4.00"
"CE651","LAMP Technologies (Elective I)","NULL","NULL","4.00"
"CE653","Advanced Data Structures (Elective III)","NULL","NULL","4.00"
"CE661","Mobile Applications Development Technologies (Elective I)","NULL","NULL","4.00"
"CE663","Natural Language Processing (Elective III)","NULL","NULL","4.00"
"CE671","Internet of Things(Elective 1)","NULL","NULL","4.00"
"CE701","Interfacing with Microprocessor","NULL","NULL","4.00"
"CE702","Minor Project","NULL","NULL","2.00"
"CE703","Open source development lab","NULL","NULL","4.00"
"CE801","Major Project","NULL","NULL","21.00"
"CL101","Environment and Energy Studies","NULL","NULL","3.00"
"CL102","Mechanics of Solids","NULL","NULL","5.00"
"CL301","Structural Mechanics - I","NULL","NULL","4.00"
"CL302","Building Construction Materials","NULL","NULL","3.00"
"CL303","Surveying - I","NULL","NULL","3.00"
"CL304","Building and Town Planning","NULL","NULL","5.00"
"CL305","Concrete Technology","NULL","NULL","4.00"
"CL401","Geology and Geotechnical Engineering","NULL","NULL","5.00"
"CL402","Structural Mechanics - II","NULL","NULL","5.00"
"CL403","Building Construction","NULL","NULL","3.00"
"CL404","Surveying - II","NULL","NULL","4.00"
"CL405","Fluid Mechanics","NULL","NULL","4.00"
"CL406","Seminar","NULL","NULL","1.00"
"CL501","Design of Structures - I","NULL","NULL","5.00"
"CL502","Water Resources and Irrigation","NULL","NULL","4.00"
"CL503","Environmental Engineering - I","NULL","NULL","4.00"
"CL504","Transportation Engineering - I","NULL","NULL","3.00"
"CL505","Advanced Construction","NULL","NULL","3.00"
"CL506","Foundation Engineering","NULL","NULL","4.00"
"CL507","Mini Project - I","NULL","NULL","1.00"
"CL601","Design of Structures - II","NULL","NULL","5.00"
"CL602","Environmental Engineering - II","NULL","NULL","3.00"
"CL603","Transportation Engineering ? II","NULL","NULL","4.00"
"CL604","Mini Project ? II","NULL","NULL","1.00"
"CL6E1","Elective I","NULL","NULL","4.00"
"CL6E2","Elective II","NULL","NULL","4.00"
"CL701","Construction and Project Management","NULL","NULL","4.00"
"CL702","Professional Practice","NULL","NULL","4.00"
"CL703","Design of Structures - III","NULL","NULL","4.00"
"CL704","Minor Project","NULL","NULL","2.00"
"CL7E3","Elective III","NULL","NULL","4.00"
"CL7E4","Elective IV","NULL","NULL","4.00"
"CL801","Major Project","NULL","NULL","16.00"
"CLXXX","Institute Elective","NULL","NULL","3.00"
"CY101","Chemistry","NULL","NULL","3.00"
"EC301","Electronics Devices and Circuits-I","NULL","NULL","5.00"
"EC302","Digital Circuits","NULL","NULL","5.00"
"EC321","Basic Electronics","NULL","NULL","4.00"
"EC401","Signals and Systems","NULL","NULL","4.00"
"EC402","Electronics Devices and Circuits - II","NULL","NULL","4.00"
"EC403","Communication Systems","NULL","NULL","4.00"
"EC404","Electronics Design, Tools and Packages","NULL","NULL","1.00"
"EC405","Seminar","NULL","NULL","1.00"
"EC407","Comprehensive Viva/Voce","NULL","NULL","2.00"
"EC501","Electromagnetics Engineering","NULL","NULL","3.00"
"EC502","Integrated Circuits and Applications","NULL","NULL","4.00"
"EC503","Microprocessor and Computer Architecture","NULL","NULL","3.00"
"EC504","Modern Measurement and Instrumentation","NULL","NULL","2.00"
"EC505","Digital Communication","NULL","NULL","4.00"
"EC506","Digital Signal Processing","NULL","NULL","4.00"
"EC507","Microprocessor and Microcontroller Lab","NULL","NULL","1.00"
"EC508","Mini Project-I","NULL","NULL","1.00"
"EC601","Digital System Design","NULL","NULL","4.00"
"EC602","Antenna and Wave Propagation","NULL","NULL","4.00"
"EC603","Fiber Optic Communication","NULL","NULL","4.00"
"EC605","Mini Project-II","NULL","NULL","1.00"
"EC611","Digital Integrated Circuit Design","NULL","NULL","3.00"
"EC612","Analog Integrated Circuit Design","NULL","NULL","3.00"
"EC621","System Modeling and Design","NULL","NULL","3.00"
"EC622","Modern Processor Architecture","NULL","NULL","3.00"
"EC631","Estimation and Detection Theory","NULL","NULL","3.00"
"EC632","Error Control Coding","NULL","NULL","3.00"
"EC641","Telecom Networks","NULL","NULL","3.00"
"EC642","Satellite Communication","NULL","NULL","3.00"
"EC701","Data Communication and Networking","NULL","NULL","4.00"
"EC702","Embedded Systems","NULL","NULL","4.00"
"EC703","Microwave Engineering","NULL","NULL","4.00"
"EC704","Minor Project","NULL","NULL","2.00"
"EC713","Testing and Verification of Electronic Circuits","NULL","NULL","3.00"
"EC714","High Performance VLSI Design","NULL","NULL","3.00"
"EC723","Multimedia Systems","NULL","NULL","3.00"
"EC724","Image Processing","NULL","NULL","3.00"
"EC733","Wireless Communications","NULL","NULL","3.00"
"EC734","RF Communication Circuits","NULL","NULL","3.00"
"EC743","Wireless Sensor Networks","NULL","NULL","3.00"
"EC744","Broadband Network","NULL","NULL","3.00"
"EC801","Major Project","NULL","NULL","24.00"
"EE101","Elements of Electrical Engineering","NULL","NULL","4.00"
"EE102","Electrical Workshop Practices","NULL","NULL","1.00"
"EE301","Analog Electronic Circuits","NULL","NULL","4.00"
"EE302","Network Analysis and Synthesis","NULL","NULL","4.00"
"EE303","Electrical Engineering Materials","NULL","NULL","2.00"
"EE304","Electrical Transducers and Measurements","NULL","NULL","4.00"
"EE321","Network Analysis","NULL","NULL","4.00"
"EE322","Electrical Technology","NULL","NULL","3.00"
"EE401","Fundamentals of Electrical Power System","NULL","NULL","3.00"
"EE402","DC Machines and Transformers","NULL","NULL","4.00"
"EE403","Digital Electronic Circuits","NULL","NULL","4.00"
"EE404","Fundamentals of Power Electronics","NULL","NULL","4.00"
"EE405","Control System Engineering","NULL","NULL","4.00"
"EE406","Engineering Electromagnetics","NULL","NULL","4.00"
"EE407","Seminar","NULL","NULL","1.00"
"EE421","Electrical Machines and Drives","NULL","NULL","4.00"
"EE501","Analysis of Electrical Power System","NULL","NULL","4.00"
"EE502","Rotating AC Machines","NULL","NULL","4.00"
"EE503","High Voltage Engineering","NULL","NULL","4.00"
"EE504","Power Electronic Converters","NULL","NULL","4.00"
"EE505","Utilization of Electrical Power","NULL","NULL","2.00"
"EE506","Microprocessor and Microcontroller","NULL","NULL","4.00"
"EE507","Mini Project-I","NULL","NULL","1.00"
"EE601","Power System Operation and Control","NULL","NULL","5.00"
"EE602","Electrical Drives and Traction Systems","NULL","NULL","4.00"
"EE603","Testing, Commissioning and Maintenance of Electrical Equipment","NULL","NULL","3.00"
"EE604","Mini Project ? II","NULL","NULL","1.00"
"EE611","Electronic System Design (Elective-I)","NULL","NULL","3.00"
"EE612","Signals and Systems (Elective-II)","NULL","NULL","3.00"
"EE621","Permanent Magnet Brushless and Reluctance Motors (Elective-I)","NULL","NULL","3.00"
"EE622","Dynamics and Modelling of Electrical Machines (Elective-II)","NULL","NULL","3.00"
"EE631","Renewable Energy Sources (Elective-I)","NULL","NULL","3.00"
"EE632","Extra High Voltage Transmission (Elective-II)","NULL","NULL","3.00"
"EE641","Advanced Microprocessors and Microcontrollers (Elective-I)","NULL","NULL","3.00"
"EE701","Electrical Machine Design","NULL","NULL","4.00"
"EE702","Digital Signal Processors for Electrical Engineering","NULL","NULL","3.00"
"EE703","Power System Protection and Switchgear","NULL","NULL","4.00"
"EE704","Minor Project","NULL","NULL","2.00"
"EE713","Applications of Power Electronics in Power System (Elective III)","NULL","NULL","3.00"
"EE714","Electromagnetic Interference and Electromagnetic Compatibility (Elective IV)","NULL","NULL","3.00"
"EE723","Design of Permanent Magnet Brushless and Reluctance Motors (Elective III)","NULL","NULL","3.00"
"EE724","Control of Electric Drives (Elective IV)","NULL","NULL","3.00"
"EE733","Computer Techniques in Power System (Elective III)","NULL","NULL","3.00"
"EE734","Advanced Electrical Power System (Elective IV)","NULL","NULL","3.00"
"EE801","Major Project (Full-Time)","NULL","NULL","21.00"
"HM101","Communication Skills","NULL","NULL","3.00"
"HM102","English / Foreign Language","NULL","NULL","3.00"
"IC321","Linear Control System","NULL","NULL","4.00"
"IT502","Web designing","NULL","NULL","3.00"
